Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",9.434315,15.665685,-90.000000,top
"C2","100n","C_0402_1005Metric",14.634315,16.565685,90.000000,top
"C3","100n","C_0402_1005Metric",8.934315,7.565685,180.000000,top
"C4","100n","C_0402_1005Metric",19.934315,10.365685,-90.000000,top
"C5","10u","C_0805_2012Metric",6.434315,7.965685,-90.000000,top
"C6","100n","C_0402_1005Metric",15.134315,14.165685,0.000000,top
"D1","WHITE 5000K","LED_1206_3216Metric",26.134315,10.265685,90.000000,top
"D2","IR_940NM","LED_PLCC-2",17.434315,9.865685,90.000000,top
"D3","UV_405NM","LED_PLCC-2",22.334315,5.065685,180.000000,top
"D4","Green_0603","LED_0603_1608Metric",8.634315,2.265685,180.000000,top
"IC1","PCA9536DP,118","SOP65P490X110-8N",11.634315,9.965685,180.000000,top
"IC2","AS7341-DLGT","AS7343DLGM",22.534315,9.965685,-90.000000,top
"IC3","SPX3819M5-L-1-8_TR","SOT95P280X145-5N",12.034315,15.165685,0.000000,top
"J1","114020164","114020164",-3.665685,10.015685,-90.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",14.159315,4.965685,90.000000,top
"Q1","BS250FTA","SOT-23",26.284315,15.365685,90.000000,top
"Q2","BS250FTA","SOT-23",18.834315,15.365685,90.000000,top
"Q3","BS250FTA","SOT-23",5.034315,3.265685,180.000000,top
"R1","1k","R_0402_1005Metric",8.924315,14.165685,0.000000,top
"R2","4.7k","R_0402_1005Metric",5.934315,11.365685,90.000000,top
"R3","4.7k","R_0402_1005Metric",5.934315,13.555685,-90.000000,top
"R4","4.7k","R_0402_1005Metric",22.534315,13.065685,0.000000,top
"R5","1k","R_0402_1005Metric",9.234315,3.665685,180.000000,top
"R6","4.7k","R_0402_1005Metric",7.634315,4.065685,-90.000000,top
