Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Arrow Part Number,Arrow Price/Stock,Description,Height,LCSC,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,Type,Voltage
1,5,"C1, C2, C3, C4, C6",100n,Capacitor_JLC:100n,Capacitor_SMD:C_0402_1005Metric,~,,,,,C307331,,CL05B104KB54PNC,,,X7R,50V
2,1,C5,10u,Capacitor_JLC:10u,Capacitor_SMD:C_0805_2012Metric,~,,,,,C15850,,CL21A106KAYNNNE,,,X5R,25V
3,1,D1,WHITE 5000K,personal:LED LUXEON COOL WHITE 5000K 2SMD,LED_SMD:LED_1206_3216Metric,~,,,,,,,L130-5090001400001,,,,
4,1,D2,IR_940NM,personal:EMITTER_IR_940NM_100MA_2-PLCC,LED_SMD:LED_PLCC-2,~,,,,,,,VSML3710-GS18,,,,
5,1,D3,UV_405NM,personal:EMITTER_UV_405NM_30MA_PLCC,LED_SMD:LED_PLCC-2,~,,,,,,,VLMU3100-GS08,,,,
6,1,D4,Green_0603,Diode_JLC:Green_0603,LED_SMD:LED_0603_1608Metric,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf,,,,,C72043,,19-217/GHC-YR1S2/3T,,,,
7,1,IC1,"PCA9536DP,118","Digital_JLC:PCA9536DP,118",SOP65P490X110-8N,http://www.nxp.com/docs/en/data-sheet/PCA9536.pdf,"PCA9536DP,118",https://www.arrow.com/en/products/pca9536dp118/nxp-semiconductors?region=nac,4-bit I2C-bus and SMBus I/O port,1.1,C129522,NXP,"PCA9536DP,118",771-PCA9536DP-T,https://www.mouser.co.uk/ProductDetail/NXP-Semiconductors/PCA9536DP118?qs=LOCUfHb8d9ubAwWIgMOyZQ%3D%3D,,
8,1,IC2,AS7341-DLGT,Sensors_JLC:AS7341-DLGT,AS7341DLGT,https://www.mouser.com/catalog/specsheets/AMS_03152019_AS7341_DS000504_1-00.pdf,AS7341-DLGT,https://www.arrow.com/en/products/as7341-dlgt/ams-ag?region=nac,Ambient Light Sensors AS7341-DLGT OLGA8 LF T&RDP,1.1,C2649486,ams,AS7341-DLGT,985-AS7341-DLGT,https://www.mouser.co.uk/ProductDetail/ams/AS7341-DLGT?qs=byeeYqUIh0Mv1a0BhdN%2FNw%3D%3D,,
9,1,IC3,SPX3819M5-L-1-8_TR,Power-Drivers_JLC:SPX3819M5-L-1-8_TR,SOT95P280X145-5N,https://ms.componentsearchengine.com/Datasheets/2/SPX3819M5-L-1-8_TR.pdf,SPX3819M5-L-1-8/TR,https://www.arrow.com/en/products/spx3819m5-l-1-8tr/maxlinear-inc?region=nac,"MAX LINEAR - SPX3819M5-L-1-8/TR - Fixed LDO Voltage Regulator, 2.5V to 16V, 340mV drop, 1.8V/500mA out, SOT-23-5",1.45,C24639,"MaxLinear, Inc.",SPX3819M5-L-1-8/TR,701-SPX3819M5-L-18TR,https://www.mouser.co.uk/ProductDetail/MaxLinear/SPX3819M5-L-1-8-TR?qs=S%2FCBhQS5rCpfutlZ3lVq4g%3D%3D,,
10,1,J1,114020164,Connector_JLC:114020164,114020164,https://files.seeedstudio.com/products/114020164/res/Grove%20Female%20Header%20-%20SMD-4P-2.0mm-90D%20Datasheet.pdf,,,Seeed Studio Accessories Grove Female Header - SMD-4P-2.0mm-90D-20Pcs,5.45,C604849,Seeed Studio,320110032,713-114020164,https://www.mouser.co.uk/ProductDetail/Seeed-Studio/114020164?qs=7MVldsJ5Uayw%2FOfizq4F8w%3D%3D,,
11,1,J2,Conn_01x02,Connector_Generic:Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,,,,,DO NOT FIT,,,,
12,3,"Q1, Q2, Q3",BS250FTA,Transistor_JLC:BS250FTA,Package_TO_SOT_SMD:SOT-23,~,,,,,C98939,,BS250FTA,,,,
13,2,"R1, R5",1k,Resistor_JLC:1k,Resistor_SMD:R_0402_1005Metric,~,,,,,C11702,,0402WGF1001TCE,,,,
14,4,"R2, R3, R4, R6",4.7k,Resistor_JLC:4.7k,Resistor_SMD:R_0402_1005Metric,~,,,,,C25900,,0402WGF4701TCE,,,,
